STATE_ABBREVIATION,D,INCUMBENT,CANDIDATE_NAME,CANDIDATE_ID,PARTY,PRIMARY_VOTES,PRIMARY_%,GENERAL_VOTES,GENERAL_%,GE_WINNER_INDICATOR,COMMITTEE_ID,COMMITTEE_TYPE
IL,02,0,"Morrow, John F",H6IL02199,R,277303.0,1.0,59471.0,0.20192379516640524,0,C00620237,H
CA,13,1,"Lee, Barbara",H8CA09060,D,192227.0,0.9195484225884379,293117.0,0.9078455482220453,1,C00331769,H
CA,12,1,"Pelosi, Nancy ",H8CA05035,D,169537.0,0.7811253121515651,274035.0,0.8087326063539376,1,C00213512,H
CA,02,1,"Huffman, Jared W.",H2CA06259,D,157897.0,0.6830045851717277,254194.0,0.7685009946608781,1,C00536680,H
CA,14,1,"Speier, Jackie",H8CA12171,D,144719.0,0.990418768264223,231630.0,0.8086312651205982,1,C00443705,H
OR,03,1,"Blumenauer, Earl ",H6OR03064,D,144706.0,0.9829435459220063,274687.0,0.7184082854938474,1,C00307314,H
MT,00,1,"Zinke, Ryan",H4MT01041,R,144660.0,0.999986174669229,285358.0,0.5619152828401575,1,C00550871,H
IL,07,1,"Davis, Danny K.",H4IL07037,D,139378.0,0.8119232920123031,250584.0,0.8423954334276859,1,C00172619,H
CA,04,1,"McClintock, Tom",H8CA04152,R,135626.0,0.6146379044684129,220133.0,0.6271988557687377,1,C00446815,H
IL,09,1,"Schakowsky, Janice D",H8IL09067,D,134961.0,1.0,217306.0,0.6646500360913662,1,C00327023,H
CA,11,1,"DeSaulnier, Mark",H0CA10073,D,133317.0,0.753326816258031,214868.0,0.7205282201409079,1,C00460162,H
CA,18,1,"Eshoo, Anna G.",H8CA12098,D,132726.0,0.6819716269056268,230460.0,0.7114500046306301,1,C00258475,H
MD,07,1,"Cummings, Elijah",H6MD07160,D,130555.0,0.9205228905638559,238838.0,0.7489150612081076,1,C00310318,H
IL,18,1,"LaHood, Darin",H6IL18088,R,130419.0,1.0,250506.0,0.721331018218571,1,C00575050,H
IL,01,1,"Rush, Bobby L.",H2IL01042,D,128402.0,0.7143643980572262,234037.0,0.7409469958399554,1,C00257121,H
OH,12,1,"Tiberi, Pat",H0OH12062,R,128173.0,1.0,251266.0,0.6655453548554567,1,C00347492,H
CA,33,1,"Lieu, Ted W.",H4CA33119,D,127733.0,0.6915364167420104,219397.0,0.6643984749514716,1,C00556506,H
IL,05,1,"Quigley, Mike",H0IL05096,D,127679.0,1.0,212842.0,0.6784370975762135,1,C00457556,H
CA,05,1,"Thompson, Mike ",H8CA01109,D,124634.0,0.6570023352538995,224526.0,0.7686851015608149,1,C00326363,H
OH,05,1,"Latta, Bob",H8OH05036,R,119907.0,1.0,244599.0,0.7090011043766359,1,C00438697,H
CA,20,0,"Panetta, Jimmy ",H6CA20152,D,116826.0,0.708302513671804,180980.0,0.7075307575325168,1,C00592154,H
IL,02,1,"Kelly, Robin",H2IL02172,D,115752.0,0.7391901298270037,235051.0,0.7980762048335948,1,C00539866,H
CA,37,1,"Bass, Karen",H0CA33117,D,115597.0,0.8021052339418667,192490.0,0.8112630230284231,1,C00476523,H
OR,04,1,"DeFazio, Peter A.",H6OR04047,D,113816.0,0.9155746474567817,220628.0,0.5549440598840953,1,C00215905,H
MT,00,0,"Juneau, Denise",H6MT01095,D,112821.0,1.0,205919.0,0.40548725855648826,0,C00591289,H
CA,28,1,"Schiff, Adam B.",H0CA27085,D,111766.0,0.7023653913830376,210883.0,0.7798667943744476,1,C00343871,H
CA,53,1,"Davis, Susan A.",H0CA49055,D,110831.0,0.65479735318445,198988.0,0.670092538962001,1,C00344671,H
CA,15,1,"Swalwell, Eric",H2CA15094,D,110803.0,0.7650291711257639,198578.0,0.7376679532089883,1,C00502294,H
OH,04,1,"Jordan, Jim",H6OH04082,R,109743.0,1.0,210227.0,0.6798886186644588,1,C00416594,H
OH,11,1,"Fudge, Marcia L.",H8OH11141,D,109706.0,1.0,242917.0,0.8025379436115314,1,C00454694,H
CA,26,1,"Brownley, Julia",H2CA00120,D,108937.0,0.6402183878323421,169248.0,0.6037951246312079,1,C00513077,H
OH,10,1,"Turner, Mike ",H2OH03067,R,108235.0,1.0,215724.0,0.640887457590864,1,C00373001,H
PA,01,1,"Brady, Robert A.",H8PA01153,D,108233.0,0.9990953651309413,245791.0,0.8216807295775778,1,C00333740,H
CA,52,1,"Peters, Scott",H2CA52089,D,108020.0,0.5886584342404988,181253.0,0.5652568484606556,1,C00503110,H
CA,19,1,"Lofgren, Zoe",H4CA16049,D,107773.0,0.760775649080205,181802.0,0.7394443246848855,1,C00289603,H
IL,03,1,"Lipinski, Daniel William",H4IL03077,D,107620.0,1.0,225320.0,0.9995962929936871,1,C00405431,H
OH,16,1,"Renacci, Jim",H0OH16097,R,107039.0,1.0,225794.0,0.6532937527486518,1,C00466359,H
OH,15,1,"Stivers, Steve",H8OH15076,R,106410.0,1.0,222847.0,0.6616459871677252,1,C00441352,H
PA,14,1,"Doyle, Mike",H4PA18131,D,103710.0,0.7636853654585353,255293.0,0.7425538969878186,1,C00290064,H
MS,04,1,"Palazzo, Steven",H0MS04120,R,103558.0,1.0,181323.0,0.6504184318044042,1,C00477323,H
OH,06,1,"Johnson, Bill",H0OH06189,R,102187.0,1.0,213975.0,0.706759591088504,1,C00476820,H
OH,02,1,"Wenstrup, Brad ",H2OH02085,R,101765.0,0.8487418787166079,221193.0,0.6500342366117215,1,C00497818,H
IL,16,1,"Kinzinger, Adam",H0IL11052,R,101421.0,0.9999802806069629,259722.0,0.9994958688181395,1,C00458877,H
MD,03,1,"Sarbanes, John",H6MD03292,D,101355.0,0.8717059997247832,214640.0,0.6318981379259586,1,C00415182,H
IL,14,1,"Hultgren, Randall M. ""Randy""",H0IL14080,R,101299.0,1.0,200508.0,0.5930487404502258,1,C00467522,H
TX,11,1,"Conaway, Mike",H4TX19136,R,101056.0,1.0,201871.0,0.8950245623991345,1,C00383828,H
OH,01,1,"Chabot, Steve",H8OH01043,R,101026.0,1.0,210014.0,0.5919422302896378,1,C00301838,H
PA,04,1,"Perry, Scott",H2PA04135,R,100552.0,0.9958897461546842,220628.0,0.6599977264976696,1,C00510164,H
CA,06,1,"Matsui, Doris",H6CA05195,D,99599.0,0.7038102237234478,177565.0,0.7542701550041842,1,C00409219,H
OR,01,1,"Bonamici, Suzanne",H2OR01133,D,99153.0,0.8973934292696172,225391.0,0.5961226675835438,1,C00500421,H
CA,03,1,"Garamendi, John G.",H0CA10149,D,98430.0,0.6310748082989255,152513.0,0.5935143170691842,1,C00462697,H
