CANDIDATE_ID,COMMITTEE_ID,COMMITTEE_TYPE
H6AL04098,C00313247,H
H0AL02087,C00462143,H
H2AL03032,C00367862,H
H4AL01123,C00545673,H
H6AL01060,C00592667,H
H6AL02142,C00588244,H
H6AL03157,C00589218,H
H6AL04148,C00579268,H
H6AL02159,C00591982,H
H6AL02167,C00627976,H
H4AL03061,C00569699,H
H0AL05163,C00464149,H
H6AL05202,C00581819,H
H4AL06098,C00551374,H
H6AL06127,C00586750,H
H0AL07086,C00458976,H
H6AK00045,C00012229,H
H6AK00235,C00615302,H
H6AK00243,C00621029,H
H2AZ08102,C00512236,H
H0AZ01259,C00461806,H
H4AZ06045,C00440727,H
H4AZ04024,C00367110,H
H2AZ09019,C00508804,H
H2AZ07070,C00374058,H
H6AZ01199,C00582890,H
H4AZ07043,C00558627,H
H6AZ02171,C00580712,H
H6AZ04177,C00588582,H
H6AZ09010,C00572602,H
H6AZ05083,C00610451,H
H6AZ05125,C00612812,H
H2AZ04143,C00512319,H
H6AZ01181,C00582866,H
H2AZ04127,C00588673,H
H6AZ05117,C00613869,H
H2AZ05132,C00500199,H
H6AZ05091,C00611574,H
H6AZ09036,C00609990,H
H6AZ05133,C00615542,H
H4AZ01145,C00549204,H
H2AZ09035,C00510958,H
H6AZ07030,C00616003,H
H6AZ01173,C00582536,H
H6AZ01207,C00586958,H
H6AZ01215,C00590216,H
H2AZ07161,C00545731,H
H6AZ03211,C00618488,H
H4AR02141,C00551275,H
H6AR02252,C00592758,H
H0AR01083,C00462374,H
H6AR02245,C00587105,H
H0AR03055,C00477745,H
H6AR03110,C00625376,H
H4AR04048,C00548180,H
H8CA09060,C00331769,H
H8CA05035,C00213512,H
H2CA06259,C00536680,H
H8CA12171,C00443705,H
H8CA04152,C00446815,H
H0CA10073,C00460162,H
H8CA12098,C00258475,H
H4CA33119,C00556506,H
H8CA01109,C00326363,H
H6CA20152,C00592154,H
H0CA33117,C00476523,H
H0CA27085,C00343871,H
H0CA49055,C00344671,H
H2CA15094,C00502294,H
H2CA00120,C00513077,H
H2CA52089,C00503110,H
H4CA16049,C00289603,H
H6CA05195,C00409219,H
H0CA10149,C00462697,H
H0CA03078,C00461061,H
H0CA32101,C00458125,H
H4CA23011,C00167585,H
H8CA42061,C00224691,H
H6CA24113,C00308742,H
H2CA00104,C00498212,H
H8CA52052,C00433524,H
H8CA20059,C00370056,H
H2CA39078,C00384057,H
H2CA02142,C00509422,H
H6CA39020,C00200865,H
H0CA48024,C00350520,H
H6CA07126,C00592113,H
H2CA36439,C00502575,H
H6CA22125,C00420935,H
H6CA49102,C00581595,H
H2CA30143,C00264101,H
H4CA11081,C00398644,H
H2CA50026,C00408161,H
H2CA37023,C00257337,H
H6CA24303,C00576041,H
H4CA45097,C00546853,H
H4CA35031,C00557652,H
H4CA25123,C00554014,H
H2CA43245,C00498667,H
H0CA19173,C00473272,H
H4CA26139,C00583120,H
H2CA33048,C00259143,H
H6CA04156,C00588970,H
H6CA01194,C00609958,H
H2CA28113,C00498873,H
H6CA33106,C00608430,H
H6CA39137,C00588699,H
H8CA34068,C00334706,H
H4CA20082,C00391029,H
H4CA12055,C00503185,H
H2CA08164,C00512202,H
H0CA15148,C00351379,H
H2CA31125,C00510461,H
H4CA18094,C00559666,H
H6CA48237,C00588467,H
H4CA42086,C00546580,H
H2CA48095,C00516922,H
H6CA11169,C00608281,H
H4CA24142,C00572560,H
H6CA36182,C00603423,H
H6CA46116,C00578302,H
H2CA35100,C00497859,H
H2CA27198,C00553941,H
H6CA25177,C00597724,H
H6CA03117,C00576348,H
H6CA24295,C00575886,H
H6CA23206,C00592220,H
H2CA20094,C00499392,H
H6CA05336,C00610006,H
H4CA02098,C00543553,H
H6CA01186,C00608265,H
H4CA10075,C00543843,H
H6CA15152,C00611855,H
H6CA19121,C00614511,H
H6CA50258,C00607325,H
H6CA20145,C00578732,H
H6CA24311,C00576009,H
H2CA16100,C00547885,H
H4CA45089,C00547109,H
H4CA47069,C00552604,H
H6CA52130,C00591685,H
H6CA44145,C00592048,H
H0CA11337,C00553289,H
H6CA32132,C00596858,H
H8CA41139,C00443424,H
H6CA06227,C00609610,H
H6CA53054,C00575860,H
H4CA31071,C00557884,H
H6CA53047,C00573915,H
H6CA08207,C00611673,H
H6CA09098,C00572404,H
H6CA52114,C00576140,H
H6CA05344,C00612069,H
H6CA44103,C00577353,H
H6CA35127,C00610535,H
H6CA02234,C00612929,H
H6CA25151,C00577528,H
H6CA45118,C00610881,H
H6CA03125,C00609867,H
H6CA34229,C00612242,H
H2CA00096,C00495507,H
H6CA23222,C00612531,H
H2CA50158,C00512947,H
H6CA41182,C00589440,H
H6CA13140,C00603316,H
H6CA21218,C00602888,H
H6CA12175,C00572073,H
H6CA12183,C00612416,H
H6CA51066,C00592311,H
H6CA21192,C00575399,H
H6CA41190,C00605469,H
H6CA30177,C00621938,H
H6CA18115,C00608786,H
H4CA12089,C00608661,H
H6CA31142,C00611376,H
H6CA46140,C00582338,H
H6CA37305,C00609792,H
H6CA24287,C00575696,H
H6CA29229,C00611939,H
H6CA17158,C00609412,H
H6CA31134,C00602722,H
H6CA46165,C00612143,H
H6CA24329,C00606897,H
H6CA46157,C00583088,H
H6CA38113,C00613588,H
H6CA29211,C00593194,H
H6CA16135,C00573808,H
H6CA17141,C00591784,H
H6CA29203,C00576579,H
H6CA51082,C00615450,H
H4CA42060,C00543942,H
H4CA30123,C00581058,H
H6CA22166,C00593566,H
H6CA51074,C00609123,H
H6CA52122,C00590661,H
H6CA52155,C00608059,H
H6CA46108,C00577510,H
H2CA01151,C00615104,H
H6CA08199,C00607069,H
H8CA27088,C00467712,H
H6CA06235,C00623363,H
H6CA23214,C00607887,H
H6CA17166,C00611509,H
H6CA52148,C00594168,H
