STATE_ABBREVIATION,STATE,D,CANDIDATE_ID,INCUMBENT,CANDIDATE_NAME_(FIRST),CANDIDATE_NAME_(LAST),CANDIDATE_NAME,TOTAL_VOTES,PARTY,PRIMARY_VOTES,PRIMARY_%,RUNOFF_VOTES,RUNOFF_%,GENERAL_VOTES,GENERAL_%,GE_RUNOFF_ELECTION_VOTES_(LA),GE_RUNOFF_ELECTION_%_(LA),"COMBINED_GE_PARTY_TOTALS_(CT,_NY,_SC)","COMBINED_%_(CT,_NY,_SC)",GE_WINNER_INDICATOR,FOOTNOTES
AL,Alabama,01,,0,,,,Party Votes:,R,118629.0,,,,,,,,,,0,
AL,Alabama,01,,0,,,,District Votes:,,118629.0,,,,215893.0,,,,,,0,
AL,Alabama,02,,0,,,,Party Votes:,R,118560.0,,,,,,,,,,0,
AL,Alabama,02,,0,,,,District Votes:,,118560.0,,,,276584.0,,,,,,0,
AL,Alabama,03,,0,,,,Party Votes:,R,101906.0,,,,,,,,,,0,
AL,Alabama,03,,0,,,,District Votes:,,101906.0,,,,287104.0,,,,,,0,
AL,Alabama,04,,0,,,,Party Votes:,R,106756.0,,,,,,,,,,0,
AL,Alabama,04,,0,,,,District Votes:,,106756.0,,,,239444.0,,,,,,0,
AL,Alabama,05,,0,,,,District Votes:,,,,,,308326.0,,,,,,0,
AL,Alabama,06,,0,,,,District Votes:,,,,,,329306.0,,,,,,0,
AL,Alabama,07,,0,,,,District Votes:,,,,,,233028.0,,,,,,0,
AL,Alabama,H,,0,,,,Total State Votes:,,445851.0,,,,1889685.0,,,,,,0,
AK,Alaska,00,,0,,,,Party Votes:,R,54528.0,,,,,,,,,,0,
AK,Alaska,00,,0,,,,Party Votes:,D,25057.0,,,,,,,,,,0,
AK,Alaska,00,,0,,,,Party Votes:,LIB,5543.0,,,,,,,,,,0,
AK,Alaska,00,,0,,,,District Votes:,,85128.0,,,,308198.0,,,,,,0,
AK,Alaska,H,,0,,,,Total State Votes:,,85128.0,,,,308198.0,,,,,,0,
